section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),status-full,status-bold,readonly (8),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (11),status-waitlist,status-bold (2),readonly (12),readonly (13),readonly (14),readonly (15),status-bold (3),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20)
Methods of Advanced Problem Solving,Seminar,Physics,7200,01,4,60094,Friday,S,M,T,W,T,F,S,01:00 PM - 02:40 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 325,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,17,GS College of Science,,01,00,02,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Physics,9986,01,0,61951,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Physics,9986,03,0,61648,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,2,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Physics,9986,06,0,60857,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,9,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Physics,9986,11,0,61117,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,2,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Relations,Lecture,Political Science,1160,01,4,60182,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 40 seats remain.,FULL,NU Core Social Science Lvl 1,NUpath Societies/Institutions,,,,,NU Accelerate Program Course,0 of 5 waitlist seats remain.,0,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantitative Techniques,Lecture,Political Science,2400,01,4,60442,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,NUpath Analyzing/Using Data,NU Core Math/Anly Think Lvl 2,,,,,UG Col Socl Sci & Humanities,0 of 10 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrorism and Counterterrorism,Lecture,Political Science,3423,01,4,60704,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,UG Col Socl Sci & Humanities,,,,,,,0 of 10 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internship in Politics,Off-campus instruction,Political Science,4942,02,4,60883,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,2,No Course Evaluation,NU Core Experiential Learning,,,,,NUpath Integration Experience,,,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directed Study,Individual Instruction,Political Science,5976,01,1 TO 4,61959,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,GS Col Socl Sci & Humanities,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Psychology,Lecture,Psychology,1101,01,4,60030,"Monday,Wednesday",S,T,T,M,W,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 105,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,1,NUpath Natural/Designed World,NU Core Social Science Lvl 1,01,30,05,00,NUpath Societies/Institutions,,74,UG College of Science,,,,Open Seats Reserved for Waitlisted Only.,,,,,,,,,,,,,,,,,,,,,,,
Statistics in Psychological Research,Lecture,Psychology,2320,01,4,60104,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 239,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,7,NUpath Analyzing/Using Data,NU Core Math/Anly Think Lvl 2,09,50,11,30,UG College of Science,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistics in Psychological Research,Lecture,Psychology,2320,02,4,61747,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 242,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,17,NUpath Analyzing/Using Data,NU Core Math/Anly Think Lvl 2,01,30,03,10,UG College of Science,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical Neuroanatomy,Lecture,Psychology,3200,01,4,60723,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 050,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,47,NUpath Natural/Designed World,UG College of Science,01,30,05,00,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Psychology,Lecture,Psychology,3402,01,4,61748,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,03:20 PM - 05:00 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 322,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,26,UG College of Science,,03,20,05,00,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developmental Psychology,Lecture,Psychology,3404,01,4,60144,"Monday,Wednesday",S,T,T,M,W,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Knowles Center,Building:,Room: 010,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,19,UG College of Science,,01,30,05,00,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical Psychology and Mental Health,Lecture,Psychology,3406,01,4,60199,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Knowles Center,Building:,Room: 010,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,60,UG College of Science,,01,30,05,00,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological Psychology,Lecture,Psychology,3458,01,4,60445,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 221,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,23,UG College of Science,,01,30,03,10,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cognition,Lecture,Psychology,3466,01,4,60165,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: West Village G,Building:,Room: 108,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,51,UG College of Science,,01,30,03,10,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory in Cognition,Lab,Psychology,4612,01,4,61165,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Nightingale Hall,Building:,Room: 274,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 15 seats remain.,FULL,NU Core Writing Intsv in Majr,NUpath Writing Intensive,11,40,01,20,UG College of Science,4 of 15 waitlist seats remain.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory in Sensation and Perception,Lab,Psychology,4622,02,4,61166,"Monday,Wednesday",S,T,T,M,W,F,S,08:00 AM - 11:30 AM,Type: Class,Type:,Building: Nightingale Hall,Building:,Room: 274,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,2,NU Core Writing Intsv in Majr,NUpath Writing Intensive,08,00,11,30,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seminar in Biological Psychology,Seminar,Psychology,4656,01,4,61422,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Nightingale Hall,Building:,Room: 180,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 15 seats remain.,FULL,NU Core Capstone,NUpath Capstone Experience,11,40,01,20,NU Core Writing Intsv in Majr,13 of 15 waitlist seats remain.,13,NUpath Writing Intensive,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,
Seminar in Social Psychology,Seminar,Psychology,4664,01,4,60724,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 049,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 15 seats remain.,FULL,NU Core Capstone,NUpath Capstone Experience,01,30,05,00,NU Core Writing Intsv in Majr,14 of 15 waitlist seats remain.,14,NUpath Writing Intensive,UG College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Psychology,7986,01,0,60992,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,15,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Topics in Psychology,Seminar,Psychology,8402,01,3,60981,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,3,GS College of Science,No Course Evaluation,,,,,Topics Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Toolkit for Urban and Regional Policy: Grant Writing,Seminar,Pub Policy and Urban Affairs,6216,01,2,61229,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,FULL: 0 of 28 seats remain.,FULL,GS Col Socl Sci & Humanities,,,,,,,3 of 5 waitlist seats remain.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Techniques of Policy Analysis,Seminar,Pub Policy and Urban Affairs,6506,01,4,61843,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,FULL: 0 of 25 seats remain.,FULL,GS Col Socl Sci & Humanities,,,,,,,4 of 5 waitlist seats remain.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrative Ethics and Public Management,Seminar,Pub Policy and Urban Affairs,6522,01,4,60534,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,2,GS Col Socl Sci & Humanities,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Pub Policy and Urban Affairs,6964,01,0,60491,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,5,GS Col Socl Sci & Humanities,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Pub Policy and Urban Affairs,6964,03,0,60506,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,10,GS Col Socl Sci & Humanities,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Pub Policy and Urban Affairs,6964,04,0,60649,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,20,GS Col Socl Sci & Humanities,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Pub Policy and Urban Affairs,6964,07,0,60790,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,10,GS Col Socl Sci & Humanities,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Pub Policy and Urban Affairs,6964,08,0,60849,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,5,GS Col Socl Sci & Humanities,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Pub Policy and Urban Affairs,6965,02,0,61643,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GS Col Socl Sci & Humanities,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Global Health,Lecture,Public Health,1270,01,4,61823,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 17 seats remain.,FULL,NUpath Societies/Institutions,NU Accelerate Program Course,,,,,Bouve Health Sci,,,Crosslisted Course,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Global Health,Lecture,Public Health,1270,02,4,61956,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 25 seats remain.,FULL,NUpath Societies/Institutions,NU Accelerate Program Course,,,,,Bouve Health Sci,,,Crosslisted Course,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication Skills for the Health Professions,Lecture,Public Health,2300,01,4,60710,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 209,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,7,NUpath Difference/Diversity,NUpath Creative Express/Innov,01,30,05,00,Bouve Health Sci,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication Skills for the Health Professions,Lecture,Public Health,2300,03,4,60712,"Monday,Wednesday",S,T,T,M,W,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 239,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,1,NUpath Difference/Diversity,NUpath Creative Express/Innov,01,30,05,00,Bouve Health Sci,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community and Public Health,Lecture,Public Health,2350,02,4,60535,"Tuesday,Thursday",S,M,W,T,T,F,S,08:00 AM - 11:30 AM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 155,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,4,NUpath Societies/Institutions,Bouve Health Sci,08,00,11,30,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthcare Policy and Administration,Lecture,Public Health,2515,01,4,60715,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 235,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,1,Bouve Health Sci,,01,30,05,00,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Perspectives on Discrimination and Health,Lecture,Public Health,4120,01,4,60536,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 154,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,9,NU Core Comp Stdy of Cultures,NUpath Difference/Diversity,01,30,05,00,NUpath Interpreting Culture,,25,NUpath Writing Intensive,Bouve Health Sci,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Perspectives on Discrimination and Health,Lecture,Public Health,4120,02,4,60718,"Monday,Wednesday",S,T,T,M,W,F,S,08:00 AM - 11:30 AM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 160,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,10,NU Core Comp Stdy of Cultures,NUpath Difference/Diversity,08,00,11,30,NUpath Interpreting Culture,,25,NUpath Writing Intensive,Bouve Health Sci,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Education and Program Planning,Lecture,Public Health,4540,01,4,60720,Monday,S,T,W,M,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 241,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,9,NU Core Writing Intsv in Majr,NUpath Writing Intensive,01,30,05,00,Bouve Health Sci,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Education and Program Planning,Lecture,Public Health,4540,02,4,60721,Monday,S,T,W,M,T,F,S,08:00 AM - 11:20 AM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 206,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,11,NU Core Writing Intsv in Majr,NUpath Writing Intensive,08,00,11,20,Bouve Health Sci,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Race, Ethnicity, and Health in the United States",Lecture,Public Health,5120,01,3,60203,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,FULL: 0 of 26 seats remain.,FULL,GSBV Bouve,NU Core Comp Stdy of Cultures,,,,,NUpath Difference/Diversity,9 of 10 waitlist seats remain.,9,NUpath Interpreting Culture,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,
"Race, Ethnicity, and Health in the United States",Lecture,Public Health,5120,02,3,61480,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,10,GSBV Bouve,NU Core Comp Stdy of Cultures,,,,,NUpath Difference/Diversity,,10,NUpath Interpreting Culture,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Management in Public Health,Lecture,Public Health,5300,01,1,60351,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,7,GSBV Bouve,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget Principles in Public Health,Lecture,Public Health,5310,01,1,60349,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,10,GSBV Bouve,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Writing in Public Health,Lecture,Public Health,5320,01,1,60350,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,6,GSBV Bouve,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Public Health,8984,01,1 TO 4,61476,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GSBV Bouve,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research,Individual Instruction,Public Health,8984,02,1 TO 4,61671,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GSBV Bouve,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Sociology,Lecture,Sociology,1101,03,4,60698,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,NUpath Difference/Diversity,NU Core Social Science Lvl 1,,,,,NUpath Societies/Institutions,1 of 10 waitlist seats remain.,1,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Sociology,Lecture,Sociology,1101,04,4,60752,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 32 seats remain.,FULL,NUpath Difference/Diversity,NU Core Social Science Lvl 1,,,,,NUpath Societies/Institutions,2 of 10 waitlist seats remain.,2,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Sociology,Lecture,Sociology,1101,06,4,60927,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,NUpath Difference/Diversity,NU Core Social Science Lvl 1,,,,,NUpath Societies/Institutions,1 of 10 waitlist seats remain.,1,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Sociology,Lecture,Sociology,1101,07,4,61230,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,NUpath Difference/Diversity,NU Core Social Science Lvl 1,,,,,NUpath Societies/Institutions,2 of 5 waitlist seats remain.,2,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Sociology,Lecture,Sociology,1101,08,4,61231,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 30 seats remain.,FULL,NUpath Difference/Diversity,NU Core Social Science Lvl 1,,,,,NUpath Societies/Institutions,1 of 5 waitlist seats remain.,1,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sociology of Gender,Lecture,Sociology,1260,01,4,60934,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 35 seats remain.,FULL,NU Core Comp Stdy of Cultures,NUpath Difference/Diversity,,,,,NU Core Social Science Lvl 1,,,NUpath Societies/Institutions,UG Col Socl Sci & Humanities,Crosslisted Course,,,,,,,,,,,,,,,,,,,,,,,,,
Research Methods in Sociology,Lecture,Sociology,2321,01,4,61831,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 153,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,24,NUpath Analyzing/Using Data,UG Col Socl Sci & Humanities,11,40,01,20,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Movements,Lecture,Sociology,3468,01,4,61735,"Tuesday,Thursday",S,M,W,T,T,F,S,01:30 PM - 05:00 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 296,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,17,NUpath Difference/Diversity,NUpath Societies/Institutions,01,30,05,00,UG Col Socl Sci & Humanities,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Spanish 1,Lecture,Spanish,2101,01,4,61741,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,9,UG Col Socl Sci & Humanities,,09,50,11,30,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exploring Spoken Spanish,Lecture,Spanish,3601,01,4,61742,"Tuesday,Thursday",S,M,W,T,T,F,S,09:50 AM - 11:30 AM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,6,UG Col Socl Sci & Humanities,,09,50,11,30,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
